Warstw Neuronow zbior ilosc_probek ilosc_iteracji lost_value Accuracy
5 10 circles 100 1500 1.1209450323624992 0.8
Warstw Neuronow zbior ilosc_probek ilosc_iteracji lost_value Accuracy
5 10 circles 500 1500 5.339014193357815 0.864
Warstw Neuronow zbior ilosc_probek ilosc_iteracji lost_value Accuracy
5 10 circles 1000 1500 3.235815897886567 0.945
Warstw Neuronow zbior ilosc_probek ilosc_iteracji lost_value Accuracy
5 10 circles 10000 1500 3.4095917753458655 0.9379
5 10 noisyXOR 100 1500 1.70689881535545 0.82
5 10 noisyXOR 500 1500 2.804505237087319 0.902
5 10 noisyXOR 500 1000 3.698512436468266 0.908
5 10 noisyXOR 1000 1000 2.8822499413400084 0.915
5 10 noisyXOR 10000 1000 7.243735888003273 0.9189
5 5 noisyXOR 10000 1000 7.234715127155244 0.9158
3 5 noisyXOR 10000 1000 7.5108967249410865 0.9199
5 10 simple 100 1000 0.004233593501582736 1.0
5 10 simple 500 1000 0.0003578728471507577 0.992
5 10 simple 1000 1000 0.0005208662852665766 0.992
5 10 simple 10000 1000 2.6947337967326984e-05 0.9954
5 10 three_gauss 10000 1000 0.0020893262486673483 0.3333333333333333
3 10 three_gauss 1000 1000 1.978744474977307 0.8913333333333333
3 10 three_gauss 500 1000 6.28373439118491 0.9353333333333333
3 10 three_gauss 100 1000 10.357532955520714 0.93
3 7 three_gauss 10000 1000 0.0019274824632973867 0.6516333333333333
2 7 three_gauss 10000 1000 0.0012101597685878077 0.5025666666666667
3 7 three_gauss 10000 1000 0.0019274824632973867 0.6516333333333333
3 7 XOR 100 1000 0.04748118306403317 0.96
5 7 XOR 100 1000 0.04148597474368117 0.93
3 10 XOR 100 1000 0.4700912298968823 0.95
3 5 XOR 100 1000 0.08388255937391502 0.96
3 5 XOR 500 1000 0.0010195481137296597 0.986
3 5 XOR 1000 1000 0.0021781005772490837 0.996
3 5 XOR 10000 1000 0.00017573058659168354 0.9983
