Warstw Neuronow zbior ilosc_probek ilosc_iteracji lost_value Accuracy
1 10 activation 100 250 313.5368049816265 16.679768133466705
1 10 activation 100 1000 155.61005947912903 14.405355108164976
1 10 activation 500 1000 5.273873351259268 0.45596440730463683
1 10 activation 1000 1000 1.4061893489078694 0.07855581998588126
1 10 activation 10000 1000 0.3079467699935745 -0.006736562501098645
1 10 cube 100 1000 45562.213593509325 1049.5668946334713
2 10 cube 100 1000 66550.21386214395 1105.9313784540907
3 10 cube 100 1000 195684.45028068984 1291.23852513426
3 5 cube 100 1000 66550.21499024393 1105.9313778925023
4 15 cube 100 1000 195684.45077660918 1291.238525630619
1 17 cube 500 1500 49450.11479488362 202.66857670430974
1 10 linear 100 1500 2631.812946608728 -119.9609471868854
2 10 linear 100 1500 3.1703605445021274e+19 -9563399970.77756
1 5 linear 100 1500 2763.2370056653926 -120.8135658656319
1 15 linear 100 1500 2079.45722775386 -114.69046232879091
1 15 linear 500 1500 357.3421831513834 -12.45290159937729
1 10 linear 500 1500 409.0578980223441 -13.224097717002762
2 10 linear 500 1500 280977.3782439363 37.38818282622579
1 5 linear 500 1500 1058.1396771256016 -16.935560738385693
1 5 linear 1000 1500 513.5349435645601 -7.40467762438714
1 10 linear 1000 1500 326.29537034572985 -5.788963637909835
1 10 linear 10000 1500 55.433840137253036 -0.37162101773516487
1 10 multimodal 100 1500 225282.48149376528 -458.3999594042254
2 10 multimodal 100 1500 nan nan
2 10 multimodal 100 1500 373989.29742281634 -627.8419950204203
1 15 multimodal 100 1500 312203.3266039306 -604.6573888164165
1 15 multimodal 100 1500 224888.42134442873 -452.70352357316074
1 15 multimodal 500 1500 162525.9962952977 -29.3377824359218
1 15 multimodal 1000 1500 207605.37730005675 -17.04479654590961
1 15 square 1000 1500 26567.473810757387 -169.51101234412755
2 15 square 100 1500 4.284896103406769e+307 1.35251502264566e+154
2 15 square 500 1500 nan nan
2 5 square 500 1500 670443.7546689968 -382.82621751273183
1 5 square 500 1500 32437.680375785236 -378.0626349956733
